description,COMMODITY_LEAF_PREDICTED
T&B 54112UB 4/0AWG PUR 90D CU LG 5/BX 50/CS,899864
RMI 11455 WIRE DISPENSER 1/BX,899752
EPCO 17100 T8 END CAPS BAG50 48/BG 48/BX,899752
BUR YS26 2/0AWG COP BUTT SPLICE,899816
WIRE SVC-DROP 2-3ACSR-CONCH-PE MSTR,899752
L-FSE KLDR001 600V MIDGET FUSE 10/BX,899807
L-FSE LLSRK035 600V RK1 TD FUSE 10/BX,899807
L-FSE KLDR005 600V MIDGET FUSE 10/BX,899807
BUR YS3C 3AWG COP BUTT SPLICE,899816
"UNIS HHCS037125EG 3/8"" X 1-1/4"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH",899859
L-FSE LLSRK080 600V RK1 TD FUSE 5/BX,899807
"UNIS HRMS025037EG 1/4"" X 3/8"" ROUND HEAD MACHINE SCREW SLOTTED  ELECTRO GALVANIZED FINISH ",899859
"BRDGPORT 261-SRT 3/4 EMT COUPLING STEEL COMPRESSION COUPLING 20/BX, 200/CS",899867
LEV 80720-E NYL 1G SGL LOCK PLT 25/BOX 100/CASE,900004
WIRE SVC-DROP 6-3ACSR-VOLUTA-PE 2200MSTR,899752
WIRE UF-14/2-CU-WG-1000MSTR,899956
WIRE THHN-2/0-BLU-19STR-CU-1000MSTR,899956
"UNIS HHCS037075EG 3/8"" X 3/4"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH",899859
GE F26TBX/827/A/ECO FLUOR LAMP 10/CASE   97614G,898909
FTG SC-400 F699A 4-IN D/C SQZ FLEX CONN 1/CS,899869
 CONDUIT 3/4-EF-GRAY LT 1000MSTR EF-12 GRY 6103-60-00,899877
FTG GBL-300 FGB-520 1-IN INS GRD BUSHING 50/BX 500/CS,899877
GRIPPLE CAB HF-TG-NO2-15FT GRPL TOGL END GRIPPLE TOGGLE END 10/BX,899752
"MIDA HPM-1 1.75""H X 19""W X 6""D HINGED WALL MOUNT RACK 1U HIGH",899752
LEV 86001 1G IV SWITCH PLATE 20/BOX 200/CASE,900005
"MIDA HPM-2 3.5""H X 19""W X 6""D HINGED WALL MOUNT RACK - 2U HIGH",899752
WIRE TFN-18-YEL-SOLID-CU-500S,899956
"WATT DT-305 DUAL TECH 360* CEILING OCCUPANCY SENSOR 24 VDC, 40KHZ",898870
GE F28W/T5/830/ECO FLUORESCENT LMP 40/CASE   46704,898899
WIRE THHN-2/0-BRN-19STR-CU-1000MSTR,899956
GE 40BC/25PK 120V B10 CAND LAMP 200/CASE   15788,898899
GE GE-240-PS-MV-N 2 F40/F34T12 BL 10/CASE  74472,898885
JUNO R8BL 8FT TRAC BLK,898859
JUNO R6WH 6FT WHITE TRAC,898859
JUNO T23WH CPLG FOR SFC TRACK WHITE,898859
GE CMH20PAR20/FL 20W HID LAMP 15/CASE   29486,898899
NIC 19501 4IN BLK LINE VTG BAFFLE BAFFLE TRIM (AFL 10870P) 24/BX,899752
GE 40A15CF/STG/PQ2/6-120 INCAND 12/CASE (2 LAMPS PER CARD) 46887 ***DISCONTINUED***,898899
GE GE-260-IS-MV-N 2 F96T12 IS BL 10/CASE   74474  OLD DCI: 24108,898885
NIC 19502WH 4IN WHT R20 BAFFLE BAFFLE TRIM (AFL 10877P) 24/BX,899752
NIC 19506WH 4IN WHT LN VTG EYEBALL EYEBALL TRIM (AFL 10878P) 24/BX,899752
CONTECH LA-12-P WHT 3WY JOINT CONNECTOR,899752
JUNO T24NWH ADJ CONN 90 DEG OR STRAIGHT WHT,898859
JUNO R8WH 8FT TRAC WHT,898859
GE F40/30BX/SPX30/10PK FLUOR LAMP 10/CASE   16953,898909
SAT S4886 50W R20 MED 50R20/TF LMP 96/CS  04886,898885
LEV 13653-WP SNGL TUBE LMPHLDR 1/BOX 5/CASE,899999
GE F42T12/CW/HO 55W 800MA FLUOR LMP 24/CASE 10559 ***DISCONTINUED REPLACED BY S6453 EID .499070***,898899
GE Q500T3CL/PRO-6PK QTZ 130V BULB 144/CASE   24931 ***DISCONTINUED***,898899
GE CMH20MR16/830/SP HID LAMP 12/CASE   85101 :DE2308 :ALT-NONE,898910
"WATT CI-205 PIR CEILING OCCUPANCY SENSOR 1,200 SQ. FT. 24 VDC, DE2310: ALT-CI-305",898870
LUT DVELV-300P-WH 300W 2P DIM,898872
GE 40G25/6PK 120V CLR G25 MED LAMP 6/CASE   12980 ***DISCONTINUED***,898910
SYL FO32/835/ECO OCTRON FLUOR LAMP 30/CS  21779,898899
ADV 72C5381NP001 MH BAL 100W M90/140 120/277V FCAN,898834
WIRE THHN-2-YEL-19STR-CU-2500MSTR,899956
3M IC-15WB+-10.1OZ CART FIRE BRR /BX 12/CS (YELLOW),899906
WTPN 25Q841IV1000 RG-6/U QUAD SHLD PLENUM RATED CATV COAX CABLE *COMPRESSION CON.# WTPN CN-CSF-6* *CRIMP CONNECTOR # AIM 25-7033*,899752
WIRE THHN-4/0-RED-19STR-CU-2500MSTR,899956
CONDUIT 3/4IN EMT *RED*   **YARD**,899867
FTG GBL-400 FGB-530 1-1/4 INS GRD BUSHING 50/BX 500/CS,899877
CABLE 8/3 MC STRANDED 2500MSTR,899951
"WIRE NM-B-10/2-CU-WG 5,000MSTR",899956
WIRE THHN-500-WHT-37STR-CU-1000MSTR,899956
"UNIS HHCS050250EG 1/2"" X 2-1/2"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH",899859
WIRE THHN-12-BLK-19-STR-CU 500S,899956
WIRE BARE-SD-6-SOL-CU-315R,899956
CABLE 12/2 MC AL 1 X 250'C,899951
WIRE THHN-3-RED-19STR-CU-2500MSTR,899956
WIRE THHN-500-YEL-37STRCU-2500MSTR,899956
CABLE 6/2 MC STRANDED 500R,899951
WIRE XHHW-12-YEL-7STR-CU-2500S,899958
WIRE TFFN-18-BLK-16STR-CU-500S,899956
WIRE THHN-1/0-WHT-19STR-CU-2500MSTR,899956
WIRE TFFN-18-BLU-16STR-CU-500S,899956
WIRE BARE-SD-2-SOLID-500MSTR,899958
WIRE TFFN-18-BRN-16STR-CU-500S,899956
WIRE TFFN-16-WHT-26STR-CU-500S,899956
WIRE THHN-4/0-WHT-19STR-CU-2500MSTR,899956
