PRODUCT_ID,COMMODITY_LEAF,description,buy_line_id,price_line_id,keywords,product_family_id,product_family_description
10190,901037,IDEAL 31-633 30FT TUFF-ROD GLOW KIT 1/BX 1/CS,IDEAL,IDEAL,"IDL56473 IDL 783250 56473
WEBREADY SMCPARTS
STK IDEAL",,
19111,901165,WM 829PSTC-BLK BLK PLY DTA SLD PLT 1/PK 10/BX,WIREMOLD,WIREMOLD,"WLK829PSTCBLK 829PSTC-BL 786564
00627 829PSTC-BLK DTA PLY SL",,
10198,901165,HUBW SB3084W 2G BRS RECT CARPET FLG 10/BX,HUBWIRE,HUBWIRE,"HUBSB3084W SB3084W 783585 82997 2G
BRS CARPE HUBW RECT",,
10202,899816,NSI NMS-3 3CNDCTR N-MET SPLC KIT 1/BX,NSI,NSI,"NSINMS3 NMS-3 662381 00321 CNDCTR
N-MET SPLC

STK NSI
WEBREADY",,
16637,899866,PVC 5IN PVC COUPLING EC60 77011 6141633 E940PM 10/BX,PVCFIT,PVCFIT,"PVCCP500 PVC 5-IN C 980060 06112


STK PVCFIT
WEBREADY","PVC 5"" SCH. 40*ALL","5"" PVC SCH. 40 PARTS & PIECES"
10204,901219,NSI PTS600 600MCM DU RATED PIN TERM 1/BX,NSI,NSI,"NSIPTS600 PTS600 662381 03363
600MCM PIN TERMINAL
SMCPARTS
POLARIS	SMCPARTS
WEBREADY ",,
19848,899915,"KLEIN 5125L TOOL POUCH, LEATHER, 5-POCKETS, TAPE THONG",KLEIN,KLEIN,"KLN5125L KLN 092644 55103



WEBREADY",,
17758,899979,LEV 8300-SGW HG TR DPLX 20A-125V RCPT 10/BOX 50/CASE,LEVITON,LEVITON,LEV8300SGW 8300-SGW 078477 05719,,
19566,899997,LEV 80526-W WHT 2G WALLPLATE 25/BOX 50/CASE,LEVITON,LEVITON,LEV80526W LEVITON MF 80526-W,,
10240,899978,LEV 5320-ICP IV DPLX RCPT-NEMA5-15R 10/BOX 200/CASE,LEVITON,LEVITON,"LEV5320ICP LEV 078477 15127


STK LEVITON
WEBREADY",,
